Pháp lý,Hướng,Chính chủ,Đường trước nhà,Giá,url,Địa chỉ tài sản,Mã tin,Số phòng ngủ,Loại BDS,Chiều dài,Diện tích,Sân thượng,Thuộc dự án,Phòng ăn,Loại tin,Chổ để xe hơi,Chiều ngang,Nhà bếp,Số lầu
Sổ hồng/ Sổ đỏ,_,---,3m,"1,25 tỷ",https://alonhadat.com.vn/ban-dat-tho-cu-72-4-m-tai-hem-96-chu-van-an-phuong-nghia-lo-thanh-pho-quang-ngai-17228058.html,"Hẽm 96 Đường Chu Văn An, Phường Nghĩa Lộ, Thành phố Quảng Ngãi, Quảng Ngãi",17228058.0,---,"Đất thổ cư, đất ở",17m,72 m2,---,,---,Cần bán,---,4m,---,---
Sổ hồng/ Sổ đỏ,Đông Nam,---,36m,"8,5 tỷ",https://alonhadat.com.vn/ban-dat-biet-thu-tan-loi-gan-truong-hoang-viet-ngay-sat-cong-an-thanh-pho-buon-ma-thuot-16172330.html,"Sô 119 (Đối diện Trường Hoàng Việt) Đường Trịnh Tố Tâm, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",16172330.0,---,"Đất thổ cư, đất ở",28m,316 m2,---,,---,Cần bán,---,11m,---,---
Sổ hồng/ Sổ đỏ,_,---,10m,75 tỷ,https://alonhadat.com.vn/ngop-bank-ban-gap-mat-tien-phan-van-suu-400m2-17349269.html,"Đường Phan Văn Sửu, Phường 13, Quận Tân Bình, Hồ Chí Minh",17349269.0,70,Nhà mặt tiền,20m,400 m2,---,,---,Cần bán,---,20m,---,6
Sổ hồng/ Sổ đỏ,Đông Nam,---,12m,"8,5 tỷ",https://alonhadat.com.vn/ban-dat-lo-goc-nga-tu-dt-289m2-gia-8-5ty-duong-12m-noi-bo-tay-son-17348585.html,"Đường Tây Sơn, Phường Nhơn Phú, Thành phố Quy Nhơn, Bình Định",17348585.0,---,"Đất thổ cư, đất ở",22m,289 m2,---,,---,Cần bán,---,"13,5m",---,---
Sổ hồng/ Sổ đỏ,_,---,6m,"10,5 tỷ",https://alonhadat.com.vn/-ban-khach-san-dep-thu-nhap-cao-cach-cho-da-lat-1km--17256931.html,"Đường Thông Thiên Học, Phường 2, Thành phố Đà Lạt, Lâm Đồng",17256931.0,11,"Nhà hàng, khách sạn","22,8m",103 m2,,,,Cần bán,,"4,5m",,4
Sổ hồng/ Sổ đỏ,_,---,6m,"13,5 tỷ",https://alonhadat.com.vn/chu-va-lam-roi-ban-gap-khach-san-view-thong-4-mat-thu-nhap-150-trieu-thang--17245718.html,"Đường Hoàng Hoa Thám, Phường 10, Thành phố Đà Lạt, Lâm Đồng",17245718.0,9,Nhà mặt tiền,20m,340 m2,,,,Cần bán,,17m,,4
Sổ hồng/ Sổ đỏ,_,---,8m,295 triệu,https://alonhadat.com.vn/can-ban-lo-dat-co-san-nha-cap-4--16583675.html,"Xã Ia Pếch, Huyện Ia Grai, Gia Lai",16583675.0,---,"Đất thổ cư, đất ở",49m,392 m2,---,,---,Cần bán,---,8m,---,---
---,_,---,---,"7,7 tỷ",https://alonhadat.com.vn/can-tien-ban-gap-nha-tro-cap-4-17334960.html,"Đường Tô Hiến Thành, Phường Đồng Tâm, Thành phố Vĩnh Yên, Vĩnh Phúc",17334960.0,---,"Phòng trọ, nhà trọ",---,172 m2,---,,---,Cần bán,---,---,---,---
Sổ hồng/ Sổ đỏ,_,---,8m,10 tỷ,https://alonhadat.com.vn/chinh-chu-ban-nha-cap-4-oto-kinh-doanh-57m2-pho-van-hoi-bac-tu-liem-ha-noi-10-ty-17328328.html,"Đường Văn Hội, Phường Đức Thắng, Quận Bắc Từ Liêm, Hà Nội",17328328.0,1,Nhà mặt tiền,---,57 m2,---,,---,Cần bán,---,---,---,1
Sổ hồng/ Sổ đỏ,_,---,3m,11 tỷ,https://alonhadat.com.vn/nam-du-98m2-15-phong-kk-dong-tien-thuc-700tr-nam-6-pccc-full-noi-that-chinh-chu-11t-17298698.html,"Đường Nam Dư Thượng, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",17298698.0,15,Nhà trong hẻm,25m,98 m2,---,,---,Cần bán,---,4m,---,4
Sổ hồng/ Sổ đỏ,_,---,7m,22 triệu / m2,https://alonhadat.com.vn/chinh-chu-ban-lo-goc-138m2-duong-hai-o-to-tranh-nhau-gia-nhinh-hai-ty-17309563.html,"Đường Cổ Đông, Phường Cổ Đông, Thị xã Sơn Tây, Hà Nội",17309563.0,---,"Đất thổ cư, đất ở","13,8m",138 m2,---,,---,Cần bán,---,10m,---,---
---,_,---,6m,2 tỷ,https://alonhadat.com.vn/chinh-chu-can-ban-100m2-gia-2-ty-cam-ket-re-nhat-thi-truong-17309534.html,"Đường Cổ Đông, Phường Cổ Đông, Thị xã Sơn Tây, Hà Nội",17309534.0,---,"Đất thổ cư, đất ở","13,5m",100 m2,---,,---,Cần bán,---,"7,5m",---,---
---,_,---,4m,7 tỷ,https://alonhadat.com.vn/nha-3-tang-moi-xay-noi-that-dep-gan-vinhom-co-loa-17249276.html,"Đường Quốc Lộ 3, Xã Mai Lâm, Huyện Đông Anh, Hà Nội",17249276.0,4,Nhà trong hẻm,28m,84 m2,,,,Cần bán,,3m,,3
Sổ hồng/ Sổ đỏ,Đông Nam,---,21m,"27,26 tỷ",https://alonhadat.com.vn/ban-dat-mat-tien-nguyen-chi-thanh-la-gi-binh-thuan-16510364.html,"Đường Nguyễn Chí Thanh, Xã Tân Bình, Thị xã La Gi, Bình Thuận",16510364.0,---,"Đất thổ cư, đất ở",100m,5.800 m2,---,,---,Cần bán,---,58m,---,---
Sổ hồng/ Sổ đỏ,Đông Nam,---,21m,"13,63 tỷ",https://alonhadat.com.vn/ban-dat-mat-tien-duong-nguyen-chi-thanh-la-gi-binh-thuan-16584613.html,"Đường Nguyễn Chí Thanh, Phường Bình Tân, Thị xã La Gi, Bình Thuận",16584613.0,---,"Đất thổ cư, đất ở",100m,2.900 m2,---,,---,Cần bán,---,29m,---,---
---,_,---,3m,"3,35 tỷ",https://alonhadat.com.vn/ban-nha-2-mat-hem-cach-le-loi-20m-gia-re-16678291.html,"Đường Lê Lợi, Phường Thắng Nhì, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu",16678291.0,2,Nhà trong hẻm,16m,46 m2,---,,---,Cần bán,---,3m,---,1
---,_,---,---,20 tỷ,https://alonhadat.com.vn/chinh-chu-can-nha-mat-tien-duong-hau-giang-phuong-12-quan-6-tp-hcm-5761815.html,"Đường Hậu Giang, Phường 12, Quận 6, Hồ Chí Minh",5761815.0,---,Nhà mặt tiền,---,108 m2,---,,---,Cần bán,---,---,---,---
Sổ hồng/ Sổ đỏ,_,---,4m,"14,3 tỷ",https://alonhadat.com.vn/-bo-song-set-oto-vao-nha-lo-goc-72m2-hon-14t-17381929.html,"Đường Bờ Sông Sét, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",17381929.0,4,Nhà trong hẻm,11m,72 m2,,,,Cần bán,,5m,,4
Sổ hồng/ Sổ đỏ,_,---,7m,"9,8 tỷ",https://alonhadat.com.vn/-dinhcaonhadepgiangbien-logoc-danxaychacchan-ototranh-kinhdoanh-viewvuonhoacucchill-17413399.html,"Đường Tình Quang, Phường Giang Biên, Quận Long Biên, Hà Nội",17413399.0,4,Nhà mặt tiền,15m,58 m2,---,,---,Cần bán,---,"3,9m",---,4
---,_,---,4m,"6,85 tỷ",https://alonhadat.com.vn/nha-pho-huynh-tan-phat-hem-oto-thong-ngang-7m-nhinh-6t-16950316.html,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh",16950316.0,4,Nhà trong hẻm,22m,125 m2,---,,,Cần bán,---,7m,,2
Sổ hồng/ Sổ đỏ,_,---,15m,"26,5 tỷ",https://alonhadat.com.vn/chinh-chu-can-ban-can-ho-5-tang-mt-nguyen-dinh-tuu-thanh-khe-s100m2-gia-12-80-ty-17204057.html,"Đường Phan Đăng Lưu, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",17204057.0,2,Nhà mặt tiền,24m,190 m2,,,,Cần bán,,"4,5m",,1
Sổ hồng/ Sổ đỏ,_,---,"5,5m","9,3 tỷ",https://alonhadat.com.vn/chinh-chu-can-ban-nha-3-tang-mt-nguyen-phuoc-nguyen-son-tra-s157m2-gia-7-9-ty-17204639.html,"Đường Tiên Sơn 18, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",17204639.0,4,Nhà mặt tiền,---,90 m2,,,,Cần bán,,"4,5m",,4
Sổ hồng/ Sổ đỏ,_,---,15m,12 tỷ,https://alonhadat.com.vn/re-nhat-nha-mat-tien-phan-dang-luu-s120m2-gia-12-0ty-17350159.html,"Đường Phan Đăng Lưu, Phường Hải Châu, Quận Hải Châu, Đà Nẵng",17350159.0,2,Nhà mặt tiền,24m,120 m2,,,,Cần bán,,5m,,1
---,_,---,52m,132 tỷ,https://alonhadat.com.vn/vo-nguyen-giap-kinh-doanh-nha-hang-pho-bien-du-lich-17270520.html,"Đường Võ Nguyên Giáp, Phường An Hải Nam, Quận Sơn Trà, Đà Nẵng",17270520.0,1,Nhà mặt tiền,40m,480 m2,---,,---,Cần bán,,12m,---,1
---,_,---,7m,"9,9 tỷ",https://alonhadat.com.vn/hoa-cuong-dinh-cu-chat-luong-tai-cong-vien-thang-long-17404434.html,"Đường Nguyễn Xuân Nhĩ, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",17404434.0,4,Nhà mặt tiền,17m,70 m2,---,,---,Cần bán,,4m,---,4
---,_,---,7m,"8,75 tỷ",https://alonhadat.com.vn/dinh-cu-chat-luong-tai-hoa-xuan-17406848.html,"Đường Cồn Dầu 23, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",17406848.0,3,Nhà mặt tiền,20m,100 m2,,,---,Cần bán,,5m,---,3
---,_,---,5m,"12,8 tỷ",https://alonhadat.com.vn/hoa-cuong-bac-biet-thu-san-vuon-tai-trung-tam-17407489.html,"Đường Hóa Quê Trung 3, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",17407489.0,3,Nhà mặt tiền,25m,174 m2,---,,---,Cần bán,,7m,---,1
---,_,---,32m,36 tỷ,https://alonhadat.com.vn/duong-2-thang-9-chat-luong-kinh-doanh-17409636.html,"Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",17409636.0,1,Nhà mặt tiền,25m,250 m2,,,---,Cần bán,,10m,---,1
Sổ hồng/ Sổ đỏ,_,---,5m,"3,1 tỷ",https://alonhadat.com.vn/ban-lo-dat-120m-ngang-5m-tai-khu-phan-lo-vinh-khe-3-1-ty-thoa-thuan-17411111.html,"Đường Vĩnh Khê, Phường An Đồng, Quận An Dương, Hải Phòng",17411111.0,---,"Đất thổ cư, đất ở",---,120 m2,---,,---,Cần bán,---,5m,---,---
Sổ hồng/ Sổ đỏ,_,---,"3,5m","2,55 tỷ",https://alonhadat.com.vn/-67m-vinh-khe-an-dong-an-duong-vi-tri-dep-ngay-gan-duong-mang-nuoc-duong-208-17016485.html,"Đường Vĩnh Khê, Phường An Đồng, Quận An Dương, Hải Phòng",17016485.0,---,"Đất thổ cư, đất ở",---,67 m2,---,,---,Cần bán,---,4m,---,---
Sổ hồng/ Sổ đỏ,Đông Bắc,---,30m,"31,5 tỷ",https://alonhadat.com.vn/dat-dep-mat-tien-le-loi-p-cai-khe-q-ninh-kieu-can-tho-31-5-ty-15839960.html,"Lê Lợi Đường Lê Lợi, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ",15839960.0,---,"Đất thổ cư, đất ở",46m,335 m2,---,,---,Cần bán,---,"7,3m",---,---
Sổ hồng/ Sổ đỏ,Đông Nam,---,20m,20 tỷ,https://alonhadat.com.vn/cap-nen-goc-mat-tien-tran-hoang-na-doan-kdc-91b-ninh-kieu-can-tho-17382250.html,"Trần Hoàng Na Đường Trần Hoàng Na, Phường An Khánh, Quận Ninh Kiều, Cần Thơ",17382250.0,3,Nhà mặt tiền,20m,187 m2,---,Khu dân cư 91B (xem chi tiết dự án),,Cần bán,---,10m,,1
Sổ hồng/ Sổ đỏ,Đông Bắc,---,25m,130 tỷ,https://alonhadat.com.vn/toa-nha-8-lau-cho-thu-nhap-sieu-tot-mat-tien-cmt8-ninh-kieu-can-tho-130-ty-15040053.html,"Đường Cách Mạng Tháng 8, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",15040053.0,24,Nhà mặt tiền,35m,493 m2,,,,Cần bán,,12m,,8
Sổ hồng/ Sổ đỏ,Đông Bắc,---,30m,"30,5 tỷ",https://alonhadat.com.vn/nha-lau-rong-rai-mat-tien-ly-tu-trong-ninh-kieu-can-tho-30-ty-15497035.html,"Đường Lý Tự Trọng, Phường An Cư, Quận Ninh Kiều, Cần Thơ",15497035.0,4,Nhà mặt tiền,30m,178 m2,,,,Cần bán,,6m,,1
Sổ hồng/ Sổ đỏ,_,---,6m,"46,8 tỷ",https://alonhadat.com.vn/duy-nhat-can-lien-ke-dep-nhat-pho-100m-ra-cv-cau-giay-khong-gian-song-trong-lanh-17330929.html,"Đường Thọ Tháp, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",17330929.0,5,Nhà mặt tiền,17m,103 m2,,,,Cần bán,,6m,,5
Sổ hồng/ Sổ đỏ,Đông Bắc,---,4m,"30,5 tỷ",https://alonhadat.com.vn/ban-toa-can-ho-dong-tien-8-tang-xuan-dieu-tay-ho-61m-o-to-do-cua-30-5-ty-17298061.html,"Đường Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Hà Nội",17298061.0,8,Nhà trong hẻm,"13,6m",61 m2,---,,,Cần bán,---,"4,6m",,8
Sổ hồng/ Sổ đỏ,Nam,---,"3,2m","2,4 tỷ",https://alonhadat.com.vn/ban-125m2-cach-ha-nam-son-an-duong-ngo-3-2m-gia-1-92-ty-15437818.html,"Đường Cách Hạ, Phường Nam Sơn, Quận An Dương, Hải Phòng",15437818.0,---,"Đất thổ cư, đất ở",---,125 m2,---,,---,Cần bán,---,5m,---,---
Sổ hồng/ Sổ đỏ,_,---,6m,"9,8 tỷ",https://alonhadat.com.vn/ban-dat-binh-thanh-khu-phan-lo-xay-moi-78m--17408822.html,"Đường Đặng Thuỳ Trâm, Phường 13, Quận Bình Thạnh, Hồ Chí Minh",17408822.0,---,Nhà trong hẻm,"19,5m",78 m2,---,,---,Cần bán,,4m,---,---
---,_,---,10m,"4,4 tỷ",https://alonhadat.com.vn/ban-lo-dat-tai-dinh-cu-phuoc-long-a-s-58-5m2-ngang-4-5m-duong-nhua-10m--17406518.html,"Phường Phước Long, Thành phố Nha Trang, Khánh Hòa",17406518.0,---,"Đất thổ cư, đất ở",---,58 m2,---,,---,Cần bán,---,---,---,---
Sổ hồng/ Sổ đỏ,_,---,"2,5m","3,9 tỷ",https://alonhadat.com.vn/ban-nha-chinh-chu-moi-xay-2-tam-q4-cach-mat-tien-2-can-gia-4ti-150-17021186.html,"Đường Nguyễn Thần Hiến, Phường 18, Quận 4, Hồ Chí Minh",17021186.0,2,Nhà trong hẻm,10m,30 m2,---,,,Cần bán,---,3m,,2
Sổ hồng/ Sổ đỏ,_,---,6m,"4,5 tỷ",https://alonhadat.com.vn/ban-dat-tho-cu-hiep-binh-doc-dai-lo-pham-van-dong-dt-68-8m2-so-hong-chinh-chu-17398857.html,"Đường Số 52, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh",17398857.0,---,"Đất thổ cư, đất ở",16m,69 m2,---,,---,Cần bán,---,"4,3m",---,---
Sổ hồng/ Sổ đỏ,_,---,20m,"11,5 tỷ",https://alonhadat.com.vn/nha-pho-chinh-chu-mat-tien-kinh-doanh-linh-dong-dt-125m2-so-hong-hoan-cong-17398880.html,"Đường Số 22, Phường Linh Đông, Thành phố Thủ Đức, Hồ Chí Minh",17398880.0,2,Nhà mặt tiền,31m,125 m2,,,,Cần bán,,"4,2m",,2
---,_,---,20m,"7,5 tỷ",https://alonhadat.com.vn/nha-mat-tien-ql-1a-gan-500m2-f-ho-nai-dong-nai-moi-i-chi-7-5ty--17408129.html,"Quốc lộ 1A, Xã Hố Nai 3, Huyện Trảng Bom, Đồng Nai",17408129.0,2,Nhà mặt tiền,86m,489 m2,---,,---,Cần bán,---,"5,5m",---,---
---,_,---,4m,"6,66 tỷ",https://alonhadat.com.vn/lo-goc-2-mat-tien-hoa-son-3-hoa-cuong-nam-hai-chau-nha-3-tang-kien-co-chi-7-ty-17180494.html,"Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",17180494.0,3,Nhà mặt tiền,---,101 m2,,,,Cần bán,,6m,,1
---,_,---,11m,"19,5 tỷ",https://alonhadat.com.vn/nha-3-tang-kien-co-hoang-dieu-gan-nguyen-van-linh-chi-4-85-ty-17338486.html,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",17338486.0,3,Nhà mặt tiền,---,180 m2,,,,Cần bán,,"6,5m",,2
---,_,---,"5,5m","6,3 tỷ",https://alonhadat.com.vn/hiem-nha-mat-tien-ngay-pho-luong-nhu-hoc-75m2-vi-tri-dep-dau-tu-can-ho-chi-7-x-ty-17364901.html,"Đường Trần Đức Thảo, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",17364901.0,2,Nhà mặt tiền,---,60 m2,,,,Cần bán,,"4,1m",,1
---,_,---,7m,"8,5 tỷ",https://alonhadat.com.vn/nha-3-tang-mt-nguyen-van-linh-gan-hoang-dieu-106m-vi-tri-kd-dac-dia-gia-29-5-ty-17337334.html,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",17337334.0,18,Nhà mặt tiền,---,80 m2,,,,Cần bán,,5m,,5
Sổ hồng/ Sổ đỏ,_,---,14m,"2,3 tỷ",https://alonhadat.com.vn/ban-nha-dat-khu-do-thi-moi-cho-goc-dai-phu-gia-quy-nhon-ke-song-can-lo-2-ty-xxx-nen-17413212.html,"Đường Điện Biên Phủ, Phường Nhơn Bình, Thành phố Quy Nhơn, Bình Định",17413212.0,---,"Đất thổ cư, đất ở",14m,63 m2,---,,---,Cần bán,---,"4,5m",---,---
Sổ hồng/ Sổ đỏ,_,---,8m,"1,9 tỷ",https://alonhadat.com.vn/-ban-dat-dan-cu-dong-duc-huu-thanh-duc-hoa-long-an-3-7-trieu-m2-re-hon-thi-truong-20--17247970.html,"Đường số 6, Xã Hựu Thạnh, Huyện Đức Hòa, Long An",17247970.0,---,"Đất thổ cư, đất ở",103m,513 m2,---,,---,Cần bán,---,5m,---,---
Sổ hồng/ Sổ đỏ,_,---,6m,"1,992 tỷ",https://alonhadat.com.vn/-ban-dat-gan-vinhomes-tan-my-duc-hoa-long-an-gia-4-8-trieu-m-co-hoi-hiem-co--17248329.html,"Xã Tân Mỹ, Huyện Đức Hòa, Long An",17248329.0,---,"Đất thổ cư, đất ở",52m,415 m2,---,,---,Cần bán,---,8m,---,---
Sổ hồng/ Sổ đỏ,_,---,8m,"2,99 tỷ",https://alonhadat.com.vn/-ban-dat-full-tho-tai-dt-824-huu-thanh-duc-hoa-long-an-so-hong-san--17248419.html,"Xã Hựu Thạnh, Huyện Đức Hòa, Long An",17248419.0,---,"Đất thổ cư, đất ở",76m,776 m2,---,,---,Cần bán,---,10m,---,---
---,_,---,20m,66 tỷ,https://alonhadat.com.vn/goc-3-mat-nguyen-trai-tran-hung-dao-nguyen-van-dung-q5-8x19m-9-lau-gia-66-ty-17370357.html,"Đường Nguyễn Trãi, Phường 6, Quận 5, Hồ Chí Minh",17370357.0,20,Nhà mặt tiền,---,147 m2,---,,---,Cần bán,---,---,---,9
---,_,---,20m,220 tỷ,https://alonhadat.com.vn/khach-san-mt-bui-thi-xuan-p-ben-thanh-q1-8x20m-45p-hdt-600tr-gia-249-ty-17395415.html,"Đường Bùi Thị Xuân, Phường Bến Thành, Quận 1, Hồ Chí Minh",17395415.0,45,"Nhà hàng, khách sạn",---,160 m2,---,,---,Cần bán,---,---,---,10
---,_,---,20m,540 tỷ,https://alonhadat.com.vn/ban-khach-san-3-sao-thai-van-lung-77p-10x30-8-lau-gia-480-ty-thue-30-000-usd-8404895.html,"Đường Thái Văn Lung, Phường Bến Nghé, Quận 1, Hồ Chí Minh",8404895.0,77,"Nhà hàng, khách sạn",---,3.000 m2,---,,---,Cần bán,---,---,---,9
---,_,---,---,62 tỷ,https://alonhadat.com.vn/khach-san-3-lon-nhat-duong-ten-lua-dt-20x20m-6-lau-50p-gia-69-ty-17060180.html,"Đường Tên Lửa, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh",17060180.0,---,"Nhà hàng, khách sạn",---,400 m2,---,,---,Cần bán,---,---,---,---
---,_,---,8m,"27,494 triệu / m2",https://alonhadat.com.vn/ban-nha-hoa-lac-cong-khu-cnc-view-ho-5p-di-bo-toi-dh-fpt-10p-toi-metro-100m2-oto-tranh-17339821.html,"Đường Hạ Bằng, Xã Hạ Bằng, Huyện Thạch Thất, Hà Nội",17339821.0,1,"Đất thổ cư, đất ở",---,100 m2,---,,---,Cần bán,---,"5,3m",---,1
---,_,---,8m,"22,5 triệu / m2",https://alonhadat.com.vn/dat-hoa-lac-100m2-mat-tien-5-2m-gan-dhqg-dh-fpt-trung-tam-cnc-metro-5-17407050.html,"Đường Hạ Bằng, Xã Hạ Bằng, Huyện Thạch Thất, Hà Nội",17407050.0,11,"Đất thổ cư, đất ở",---,100 m2,---,,---,Cần bán,---,"5,2m",---,1
---,_,---,11m,"13,7 tỷ",https://alonhadat.com.vn/sieu-hot-nha-3-tang-3-me-moi-dep-vi-tri-kd-vip-duong-hai-phong-dt-85m2-ngag-4-5m-13-7-ty-17400233.html,"Đường Hải Phòng, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",17400233.0,3,Nhà mặt tiền,18m,85 m2,---,,---,Cần bán,---,"4,5m",---,3
Sổ hồng/ Sổ đỏ,_,---,2m,"6,5 tỷ",https://alonhadat.com.vn/nha-3-tang-lo-goc-2-mat-thoang-thach-ban-long-bien-gia-chi-hon-6-ty-17357659.html,"Phường Thạch Bàn, Quận Long Biên, Hà Nội",17357659.0,4,Nhà trong hẻm,---,52 m2,,,,Cần bán,---,---,,3
Sổ hồng/ Sổ đỏ,Tây,---,14m,"8,7 tỷ",https://alonhadat.com.vn/ban-dat-khu-hoa-dinh-phuong-vo-cuong-nhin-vuon-hoa-78m2-mat-4-6m-tay-gia-8-7-ty-16836705.html,"Đường Nguyễn Cao, Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh",16836705.0,---,"Đất nền, liền kề, đất dự án",---,78 m2,---,,---,Cần bán,---,"4,6m",---,---
Sổ hồng/ Sổ đỏ,Đông Nam,---,14m,10 tỷ,https://alonhadat.com.vn/ban-nha-pho-luong-dinh-cua-khu-bo-son-phuong-vo-cuong-96m2-mat-4m-dong-nam-gia-10-ty-16954449.html,"Đường Lương Định Của, Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh",16954449.0,---,"Đất thổ cư, đất ở",---,96 m2,---,,---,Cần bán,---,4m,---,---
Sổ hồng/ Sổ đỏ,Đông Nam,---,14m,"10,8 tỷ",https://alonhadat.com.vn/ban-dat-khu-bo-son-4-phuong-vo-cuong-80m2-mat-5m-gia-10-8-ty-17410750.html,"Đường Bồ Sơn, Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh",17410750.0,---,"Đất nền, liền kề, đất dự án",---,80 m2,---,,---,Cần bán,---,5m,---,---
Sổ hồng/ Sổ đỏ,Đông Nam,---,3m,"1,7 tỷ",https://alonhadat.com.vn/ban-lo-goc-tho-cu-lam-lang-phuong-van-duong-62m2-mat-6-6m-gia-1-8-ty-15531447.html,"Đường Lãm Làng, Phường Vân Dương, Thành phố Bắc Ninh, Bắc Ninh",15531447.0,---,"Đất thổ cư, đất ở",---,62 m2,---,,---,Cần bán,---,"6,6m",---,---
Sổ hồng/ Sổ đỏ,Đông Bắc,---,2m,"3,6 tỷ",https://alonhadat.com.vn/ban-nha-xay-moi-1-5-tang-khu-kha-le-vo-cuong-57m2-thong-2-mat-ngo-gia-3-5-ty-16257256.html,"Đường Khả Lễ, Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh",16257256.0,2,Nhà trong hẻm,---,57 m2,---,,---,Cần bán,---,"3,9m",---,1
Sổ hồng/ Sổ đỏ,Đông Nam,---,15m,"13,2 tỷ",https://alonhadat.com.vn/ban-dat-nguyen-nhan-thiep-lan-2-duong-nguyen-cao-tp-bac-ninh-88m2-mat-6-6m-gia-13-3-ty-16142733.html,"Đường Nguyễn Nhân Thiếp, Phường Tiền Ninh Vệ, Thành phố Bắc Ninh, Bắc Ninh",16142733.0,---,"Đất nền, liền kề, đất dự án",---,88 m2,---,,---,Cần bán,---,"6,6m",---,---
Sổ hồng/ Sổ đỏ,Tây Bắc,---,14m,"8,3 tỷ",https://alonhadat.com.vn/ban-dat-kha-le-phuong-vo-cuong-lan-2-duong-binh-than-80-8m2-mat-4-5m-tay-bac-gia-8-5-ty-16811443.html,"Đường Bình Than, Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh",16811443.0,---,"Đất nền, liền kề, đất dự án",---,80 m2,---,Khu dân cư Khả Lễ 1 (xem chi tiết dự án),---,Cần bán,---,"4,5m",---,---
Sổ hồng/ Sổ đỏ,Đông Nam,---,14m,"4,8 tỷ",https://alonhadat.com.vn/ban-dat-truc-chinh-quynh-doi-kim-chan-bac-ninh-180m2-mat-9m-dong-nam-gia-4-8-ty-17365371.html,"Phường Kim Chân, Thành phố Bắc Ninh, Bắc Ninh",17365371.0,---,"Đất nền, liền kề, đất dự án",---,180 m2,---,,---,Cần bán,---,9m,---,---
---,_,---,"3,5m","5,49 tỷ",https://alonhadat.com.vn/hiem-nha-75m-no-hau-kiet-ham-nghi-6m-thong-hung-vuong-gia-cuc-mem-5-49-ty-17219329.html,"Đường Hàm Nghi, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",17219329.0,2,Nhà trong hẻm,"13,5m",75 m2,---,,,Cần bán,,"5,5m",,1
Sổ hồng/ Sổ đỏ,_,---,"5,5m","6,5 tỷ",https://alonhadat.com.vn/nha-dep-kiet-hoang-dieu-le-hong-phong-ngang-8-met-co-san-rong-gia-chi-5-38-ty-17181253.html,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",17181253.0,3,Nhà trong hẻm,14m,82 m2,,,,Cần bán,,"6,2m",,2
Sổ hồng/ Sổ đỏ,_,---,5m,"8,49 tỷ",https://alonhadat.com.vn/nha-kiet-rong-nguyen-cong-tru-thong-my-khe-7-luong-the-vinh-gia-chi-3-380-ty-16942495.html,"Đường Tiên Sơn 16, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",16942495.0,3,Nhà mặt tiền,20m,100 m2,,,,Cần bán,,5m,,2
Sổ hồng/ Sổ đỏ,Tây,---,20m,"4,2 tỷ",https://alonhadat.com.vn/nha-mat-tien-quang-trung-kinh-doanh-17347521.html,"Đường Quang Trung, Phường Nghĩa Chánh, Thành phố Quảng Ngãi, Quảng Ngãi",17347521.0,3,Nhà mặt tiền,18m,80 m2,,,,Cần bán,,"4,5m",,2
Sổ hồng/ Sổ đỏ,Nam,---,6m,"1,05 tỷ",https://alonhadat.com.vn/mt-phuoc-minh-binh-chanh-185m2-15964254.html,"Xã Bình Chánh, Huyện Bình Sơn, Quảng Ngãi",15964254.0,---,"Đất thổ cư, đất ở",28m,185 m2,---,,---,Cần bán,---,6m,---,---
